,Current Qtr.,Next Qtr.,Current Year,Next Year,Next 5 Years (per annum),Past 5 Years (per annum)
TPIC,-800.00%,114.40%,246.30%,117.70%,50.00%,-50.41%
TTC,32.60%,1.20%,15.60%,10.00%,11.60%,21.95%
TWIN,93.70%,61.50%,73.60%,65.00%,8.00%,7.89%
ULBI,,,,,17.50%,-4.87%
VIRC,14.30%,,-120.00%,,,-7.23%
VMI,6.50%,16.00%,14.50%,14.80%,10.00%,5.09%
WTS,4.20%,24.30%,-0.50%,10.90%,8.00%,13.41%
XONE,4.50%,16.70%,11.60%,36.80%,46.49%,
XYL,65.20%,45.00%,24.80%,19.80%,18.16%,12.13%
AAP,175.80%,-11.30%,14.70%,13.90%,13.96%,-3.23%
AEO,127.40%,"1,300.00%","3,825.00%",17.20%,7.70%,22.34%
AMZN,87.40%,5.90%,14.10%,38.50%,38.37%,100.60%
ANF,83.90%,-47.80%,295.90%,12.60%,18.00%,3.16%
APRN,43.00%,-287.50%,23.90%,19.70%,-28.00%,
AZO,27.20%,-12.50%,9.00%,9.60%,6.70%,14.48%
BBBY,-18.40%,105.60%,-337.00%,222.00%,67.90%,-28.63%
BBY,91.00%,-15.20%,-8.20%,9.90%,9.63%,24.23%
BKE,220.80%,-40.80%,-1.10%,12.20%,-8.88%,-13.30%
BNED,32.10%,41.70%,-192.50%,79.90%,20.00%,
BOOT,87.00%,"1,900.00%",-3.60%,38.50%,10.20%,23.39%
CAR,-74.30%,90.40%,98.10%,"3,275.00%",2.80%,21.75%
CONN,15.00%,114.80%,-133.90%,295.40%,23.00%,24.41%
CRI,134.60%,7.40%,14.90%,20.30%,15.30%,5.32%
CVNA,44.90%,37.10%,30.40%,55.20%,-210.90%,
DDS,130.30%,-345.90%,185.60%,7.60%,-21.48%,1.50%
DKS,154.40%,-46.10%,-17.30%,7.70%,9.24%,5.09%
DXLG,,,,,15.00%,-27.11%
EBAY,55.10%,,20.20%,12.40%,18.79%,-0.52%
ETSY,730.00%,-12.00%,11.20%,27.10%,36.60%,86.41%
EXPR,66.50%,73.60%,79.20%,96.00%,-57.12%,-29.49%
FIVE,169.20%,34.00%,89.50%,21.80%,27.75%,40.24%
FLWS,40.00%,-45.00%,71.60%,6.10%,20.00%,11.65%
FND,52.90%,253.80%,28.00%,26.00%,25.46%,30.89%
GCO,84.40%,87.00%,412.70%,29.00%,10.00%,-16.76%
GES,-54.10%,79.60%,-149.70%,290.30%,4.40%,11.92%
GME,6.30%,72.70%,"-1,086.40%",90.30%,-48.15%,-15.71%
GPC,23.90%,12.90%,8.50%,7.30%,4.60%,5.78%
GPS,95.60%,352.90%,162.60%,45.50%,4.90%,-5.20%
HD,41.80%,-1.70%,6.40%,8.10%,8.37%,19.22%
HIBB,693.50%,-80.30%,-15.00%,8.50%,7.20%,-3.48%
HOME,86.50%,136.10%,294.70%,-29.80%,24.30%,15.67%
IVDN,,,,,,
JILL,,,,,-45.51%,
JWN,80.50%,116.70%,124.60%,94.40%,-5.52%,-4.29%
KAR,33.30%,175.00%,76.50%,26.70%,14.00%,6.18%
KIRK,,,32.10%,33.30%,15.00%,-24.64%
KSS,96.20%,452.00%,219.50%,46.50%,-5.94%,6.02%
LB,161.60%,136.00%,25.70%,6.40%,13.47%,-19.31%
LE,51.60%,-169.20%,60.60%,18.90%,20.00%,-20.27%
LL,-47.70%,150.00%,-20.50%,12.50%,30.00%,-44.29%
LOW,39.50%,-4.80%,9.70%,13.10%,13.74%,15.75%
LQDT,210.00%,140.00%,341.70%,3.80%,-16.70%,-41.45%
LULU,9.20%,277.30%,-7.10%,46.50%,18.06%,21.97%
M,76.80%,71.60%,131.20%,43.50%,-11.82%,-9.04%
MELI,131.80%,-70.30%,"2,612.50%",252.20%,20.50%,-12.10%
MIK,169.80%,-20.00%,5.20%,4.50%,4.52%,6.45%
MOV,200.00%,,-66.90%,284.60%,15.00%,-0.98%
ODP,-37.50%,"1,028.60%",5.40%,13.80%,12.30%,0.10%
ORLY,32.00%,-11.50%,0.30%,11.40%,9.97%,19.78%
OSTK,100.00%,-54.40%,-12.90%,75.00%,113.10%,-23.80%
PLCE,86.20%,89.20%,489.90%,29.30%,-7.10%,-13.75%
PRTS,-33.30%,-133.30%,-250.00%,100.00%,15.00%,
RH,27.40%,147.20%,51.40%,10.40%,24.20%,38.64%
RMBL,89.20%,-372.30%,33.60%,135.70%,25.00%,
ROST,195.40%,"1,600.00%",423.10%,22.30%,46.74%,16.99%
SBH,-34.80%,500.00%,39.30%,12.90%,29.90%,10.10%
SCVL,112.50%,185.30%,-62.30%,211.80%,10.00%,15.71%
SFIX,18.20%,56.80%,12.10%,12.10%,11.80%,
SIG,113.20%,119.50%,84.80%,13.30%,7.00%,-15.10%
TA,80.30%,34.60%,,146.40%,5.00%,-37.62%
TJX,136.50%,361.10%,635.50%,28.10%,63.31%,10.68%
TLYS,93.20%,50.00%,"1,925.00%",20.50%,12.00%,13.18%
TPR,207.40%,332.00%,168.00%,10.80%,48.12%,4.67%
TSCO,32.40%,-9.00%,-2.30%,7.30%,11.08%,12.55%
ULTA,229.50%,172.60%,107.10%,23.20%,41.80%,28.07%
URBN,105.70%,28.60%,"16,700.00%",26.20%,184.82%,6.59%
W,109.10%,-79.20%,-49.40%,99.20%,19.70%,
WINA,,,,,,42.72%
WSM,127.00%,20.60%,3.10%,7.40%,9.50%,8.86%
ZAGG,-49.40%,98.40%,-518.80%,109.00%,10.00%,19.45%
ZUMZ,100.00%,-44.60%,6.00%,13.50%,15.00%,-2.86%
AAPL,53.10%,28.10%,35.70%,5.20%,14.69%,8.42%
ADT,,-39.30%,2.80%,-23.60%,10.60%,
AEIS,37.40%,19.50%,9.80%,12.20%,5.94%,22.57%
AMOT,-34.10%,9.40%,,23.30%,30.00%,31.18%
AMSC,12.50%,-54.50%,36.60%,30.50%,25.00%,
APH,34.30%,30.00%,15.00%,11.20%,11.20%,12.84%
ARW,135.10%,57.20%,32.80%,9.10%,0.50%,7.24%
AVT,44.70%,-3.10%,1.00%,39.80%,10.40%,-5.25%
BHE,-9.10%,242.90%,25.30%,18.50%,12.52%,-2.02%
BMI,-2.40%,15.20%,7.10%,11.60%,14.90%,13.21%
CGNX,191.70%,77.80%,30.30%,16.90%,15.00%,14.68%
COHR,88.50%,194.20%,88.70%,57.20%,8.00%,20.63%
DDD,125.00%,115.40%,281.80%,75.00%,10.00%,-11.04%
ENR,56.80%,36.00%,43.70%,12.00%,25.80%,-3.23%
ENS,16.20%,34.80%,-4.30%,23.00%,10.00%,5.08%
ESP,,,,,,18.37%
FLEX,28.60%,39.10%,17.10%,7.60%,16.65%,1.01%
FLIR,23.80%,-10.90%,-3.20%,7.10%,6.40%,10.66%
FTV,-20.30%,-16.20%,19.60%,10.80%,7.05%,10.83%
GLW,115.00%,84.00%,41.00%,11.70%,4.00%,4.90%
GPRO,100.00%,120.00%,637.50%,37.30%,10.00%,
GRMN,-5.50%,29.70%,1.00%,10.80%,6.37%,11.08%
HPQ,72.50%,51.00%,43.40%,3.40%,15.07%,-8.92%
HURC,,,,,,-7.08%
IEHC,,,,,,
IIN,100.00%,115.40%,210.70%,122.60%,,11.33%
IRBT,128.10%,-69.80%,-24.20%,67.20%,18.00%,24.50%
ITRI,-28.10%,"1,600.00%",29.20%,37.70%,25.00%,18.83%
IVAC,-420.00%,-516.70%,"-1,925.00%",143.80%,8.00%,-9.93%
JBL,181.10%,19.40%,75.20%,5.30%,18.00%,23.04%
KE,72.00%,29.40%,93.60%,-13.60%,,
KEYS,70.50%,16.80%,18.40%,10.30%,12.41%,12.99%
LFUS,45.00%,184.50%,23.30%,17.10%,12.00%,14.63%
LGL,,,,,20.00%,51.80%
LOGI,100.00%,3.10%,168.80%,-27.20%,30.04%,19.91%
LPTH,-33.30%,,66.70%,200.00%,,19.63%
LUNA,33.30%,,6.90%,35.50%,,
MEI,-8.90%,97.60%,-8.60%,14.80%,15.00%,4.14%
MIND,41.70%,,31.00%,-60.00%,15.00%,-53.86%
MKSI,42.90%,37.70%,19.90%,7.70%,14.01%,32.30%
MLAB,316.70%,18.20%,-85.10%,325.00%,,2.41%
MRCY,3.30%,1.40%,4.30%,16.70%,9.80%,57.87%
MVIS,50.00%,,10.00%,,10.00%,
NTAP,-5.90%,19.20%,-1.00%,12.20%,7.66%,14.98%
OSIS,11.70%,15.60%,12.20%,5.60%,8.00%,11.56%
PI,-192.30%,68.00%,50.00%,150.00%,10.00%,
PLPC,,,,,,9.65%
PPSI,,,,,6.00%,8.31%
PSTG,-200.00%,-50.00%,45.00%,72.40%,54.38%,
RFIL,200.00%,300.00%,142.90%,88.20%,,
SANM,156.20%,-1.20%,17.70%,4.50%,-1.50%,6.71%
SCND,,,,50.00%,,3.28%
SCSC,32.40%,142.10%,-1.50%,32.20%,14.00%,5.32%
SGMA,,,,,,4.74%
SMIT,,,,,,-19.19%
SOTK,-50.00%,,-14.30%,,,
ST,39.60%,372.20%,50.20%,16.60%,6.10%,9.16%
STX,-5.10%,25.80%,2.20%,19.00%,6.74%,7.97%
SVT,,,,,,37.92%
TDC,44.40%,58.30%,19.80%,21.70%,19.00%,-18.03%
TEL,14.70%,150.80%,38.50%,10.30%,11.00%,11.12%
TRMB,12.20%,11.50%,5.80%,12.30%,10.00%,14.73%
TRNS,-3.00%,118.20%,-13.90%,36.60%,25.00%,10.55%
TTMI,27.80%,-3.20%,12.70%,15.30%,20.00%,15.94%
VIDE,,,,,,
VSAT,-66.70%,105.00%,,120.00%,31.70%,-30.90%
WATT,33.30%,20.00%,38.70%,32.60%,,
WDC,-21.20%,-19.50%,-1.60%,122.10%,-22.00%,-19.27%
AAWW,49.60%,-60.70%,-31.80%,-9.50%,10.00%,-7.79%
ARCB,69.40%,71.60%,28.20%,9.40%,15.30%,17.46%
CHRW,73.70%,7.50%,16.40%,8.30%,9.94%,8.64%
CP,11.70%,33.00%,15.00%,10.60%,8.29%,12.21%
CSX,1.00%,64.60%,19.80%,12.40%,15.38%,21.52%
DIT,,,,,,100.77%
EXPD,42.30%,-1.80%,3.70%,2.10%,4.20%,12.51%
FDX,88.50%,-1.80%,86.50%,9.80%,29.18%,14.14%
GBX,-180.40%,-81.00%,-99.50%,"22,000.00%",7.00%,-15.26%
HTLD,37.50%,12.50%,21.80%,5.70%,12.50%,-0.68%
INSW,-140.90%,-124.70%,-86.30%,366.70%,,
JBHT,26.50%,28.10%,30.00%,16.90%,20.73%,10.72%
KEX,-76.30%,-26.20%,-22.80%,66.20%,3.20%,-9.60%
KNX,63.60%,43.90%,24.20%,2.40%,12.57%,4.22%
KSU,3.60%,90.40%,29.50%,18.00%,16.49%,9.26%
LSTR,53.80%,157.10%,24.40%,5.30%,14.87%,17.83%
MATX,"1,333.30%",75.00%,16.70%,-17.60%,15.00%,-5.52%
MIC,,,104.70%,42.00%,-3.80%,9.53%
NSC,1.20%,83.00%,21.70%,13.40%,14.30%,15.99%
ODFL,42.30%,49.60%,26.60%,14.20%,15.89%,23.61%
RAIL,48.10%,70.00%,4.60%,67.50%,3.00%,-5.85%
SAIA,30.20%,69.20%,29.20%,17.00%,23.10%,20.04%
SINO,,,,,,
SNDR,25.00%,46.20%,27.20%,7.50%,15.25%,25.58%
TRN,-18.20%,650.00%,75.70%,70.80%,10.00%,-26.45%
ULH,55.60%,252.20%,78.70%,13.20%,3.00%,11.63%
UNP,1.90%,40.70%,16.60%,11.70%,12.85%,10.92%
UPS,49.60%,6.60%,8.00%,8.10%,10.06%,9.08%
USX,166.70%,44.40%,171.80%,21.70%,120.80%,-4.73%
WAB,-10.30%,14.90%,8.70%,14.60%,7.30%,-0.03%
WERN,67.50%,25.80%,23.60%,2.80%,11.34%,11.86%
XPO,106.40%,320.60%,167.70%,15.80%,10.14%,45.51%
YELL,-483.30%,113.80%,73.40%,161.80%,68.16%,28.13%
AAXN,-14.60%,-32.50%,6.70%,17.10%,18.80%,16.92%
AIRI,,-66.70%,77.80%,500.00%,,
AJRD,21.60%,6.40%,19.30%,7.10%,12.30%,53.17%
ASTC,,,,,,-2.32%
ATRO,95.40%,87.00%,96.50%,615.40%,56.00%,-22.47%
AVAV,8.00%,13.60%,1.10%,41.90%,20.50%,23.42%
BA,42.90%,93.90%,97.30%,"1,745.50%",12.33%,11.23%
BWXT,-10.10%,4.20%,3.60%,9.60%,6.02%,7.96%
CODA,350.00%,44.40%,60.00%,33.30%,,
CUB,366.70%,8.10%,3.90%,9.60%,3.80%,-16.51%
GD,-4.50%,20.60%,0.90%,10.10%,4.83%,6.81%
HEI,-12.70%,35.00%,-7.00%,24.40%,7.38%,21.36%
HII,-37.80%,112.30%,-28.30%,19.00%,0.38%,18.37%
HXL,-125.00%,-162.50%,-40.00%,840.00%,101.37%,10.29%
ISSC,,,,,20.00%,130.94%
LMT,3.80%,12.40%,7.10%,6.50%,6.08%,15.84%
MAXR,6.00%,10.10%,15.40%,4.00%,5.18%,2.61%
MICT,,,,82.80%,,
NOC,6.20%,-3.80%,-0.10%,7.20%,6.37%,20.00%
OSK,-8.80%,41.10%,16.40%,30.10%,18.15%,34.29%
PSN,7.70%,43.50%,28.90%,20.00%,,
PSSR,,,,,,
TDG,-50.60%,92.90%,-21.30%,48.50%,15.48%,18.18%
TGI,-89.90%,121.10%,-104.10%,545.50%,-26.72%,-21.24%
TXT,40.00%,369.20%,35.70%,22.10%,22.52%,8.52%
WWD,-50.30%,89.60%,-13.90%,29.60%,8.60%,13.90%
ABBV,18.20%,30.30%,17.90%,10.70%,4.77%,21.91%
ACET,57.90%,50.50%,56.10%,-11.80%,29.10%,
BMY,5.80%,16.00%,16.00%,7.50%,9.70%,21.58%
BSPM,,,,,,
EBS,"12,900.00%",25.30%,17.60%,-41.30%,9.20%,0.19%
ELAN,76.90%,177.80%,102.10%,38.90%,6.67%,
ENDP,-50.50%,-26.20%,-26.50%,0.50%,-6.45%,-14.78%
EYPT,57.30%,57.00%,51.70%,16.40%,,
GWPH,-50.00%,33.30%,123.30%,"1,109.50%",159.40%,
JNJ,0.90%,37.10%,18.40%,8.00%,5.60%,9.93%
KPTI,12.80%,1.60%,17.60%,58.50%,-30.30%,
LCI,-114.80%,-109.70%,-90.70%,300.00%,15.00%,-16.44%
LLY,25.10%,7.90%,5.40%,5.00%,11.60%,16.66%
MEIP,-275.00%,15.80%,2.00%,2.00%,-0.10%,
MRK,9.30%,16.10%,10.40%,11.00%,8.70%,8.65%
NEOS,100.00%,,-8.80%,83.80%,31.70%,
PAHC,-10.50%,64.70%,12.00%,2.50%,9.54%,-5.08%
PFE,-1.30%,11.50%,49.10%,-7.90%,10.07%,8.67%
PRGO,-50.00%,-38.80%,-32.20%,8.90%,10.00%,-13.31%
SUPN,-40.00%,-60.00%,-56.80%,21.60%,1.69%,59.19%
TEVA,-22.40%,10.90%,1.20%,5.40%,5.60%,-16.30%
TLRY,94.20%,86.20%,84.80%,37.50%,-4.20%,
TXMD,52.40%,52.60%,44.80%,70.30%,17.60%,
VERU,-200.00%,-20.00%,128.60%,"-1,600.00%",127.60%,-61.15%
ZGNX,-88.90%,6.20%,10.80%,52.90%,8.80%,
ZTS,7.40%,22.50%,14.80%,12.00%,11.43%,20.12%
ABC,2.90%,7.60%,8.40%,6.70%,9.20%,8.70%
CAH,-4.30%,17.30%,10.30%,3.50%,7.57%,2.40%
HSIC,-10.60%,,25.60%,8.30%,14.43%,6.98%
MCK,16.90%,49.50%,15.00%,9.50%,10.56%,3.44%
OMI,"2,375.00%",330.00%,45.10%,-7.30%,7.49%,-29.13%
